dates,supporters,leaders,volunteers,total
2018-09-30,138,0,0,138
2018-12-31,153,0,0,153
2019-03-31,170,0,0,170
2019-06-30,182,0,3,185
2019-09-30,192,0,5,197
2019-12-31,205,0,6,211
2020-03-31,210,0,6,212
