dates,supporters,leaders,volunteers,total
2018-09-30,118,4,5,127
2018-12-31,126,4,5,135
2019-03-31,128,4,5,137
2019-06-30,131,4,5,140
2019-09-30,134,4,5,143
2019-12-31,137,4,5,146
2020-03-31,141,4,5,150
