dates,supporters,leaders,volunteers,total
2018-03-31,,,,145
2018-06-30,,,,369
2018-09-30,351.0,7.0,31.0,389
2018-12-31,355.0,7.0,31.0,393
2019-03-31,361.0,7.0,30.0,398
2019-06-30,412.0,7.0,33.0,452
2019-09-30,418.0,8.0,34.0,460
2019-12-31,424.0,8.0,34.0,466
2020-03-31,437.0,8.0,34.0,479
