dates,supporters,leaders,volunteers,total
2017-09-30,14176,221,631,15028
2017-12-31,14305,262,810,15377
2018-03-31,14217,268,860,15490
2018-06-30,14839,279,893,16380
2018-09-30,17348,286,1085,18711
2018-12-31,18336,314,1218,19868
2019-03-31,19799,329,1319,21447
2019-06-30,24047,425,1507,25979
2019-09-30,25750,450,1715,27915
2019-12-31,28233,492,2418,31143
2020-03-31,29098,499,2493,32086
